100円ショップ[名]：100日元店
Tシャツ[名]：T恤衫
〜かん, 〜感[接尾]：…感
〜ごと[接尾]：整个；每
〜さき, 〜先[名]：目的地；前方
〜しき, 〜式[接尾]：…式
〜せい, 〜制[接尾]：…制
〜たち[接尾]：们
〜なんか[助]：…之类的；…什么的
〜はつ, 〜発[接尾]：…出发
〜キロ[名]：公斤；公里
あ[感]：啊
あ[感]：喂；呀；唉呀
ああ[副]：那样；那么
ああ[感]：啊；哦
あい, 愛[名]：爱
あいいれない, 相容れない[连语]：不相容
あいかた, 相方[名]：伙伴；对方
あいかわらず, 相変わらず[副]：仍旧；照旧
あいかわらず, 相変わらず[副]：依旧
あいかわらず, 相変わらず[副]：照旧
あいきょう, 愛嬌[名]：可爱；讨人喜欢
あいくるしい, 愛くるしい[形]：天真可爱的
あいこ, 愛顧[名·动]：惠顾
あいこう, 愛好[名]：爱好
あいこうか, 愛好家[名]：爱好者
あいこうしゃ, 愛好者[名]：爱好者
あいこうする, 愛好する[动]：爱好
あいさつ, 挨拶[名]：问候；寒暄
あいさつ, 挨拶[名]：问候；寒暄；致辞
あいさつ, 挨拶[名·动]：寒暄；致辞
あいさつ[名]：打招呼；致辞
あいさつまわり, 挨拶回り[名]：寒暄拜访
あいしあう, 愛し合う[动]：相爱
あいしょう, 相性[名]：缘分；性格相合
あいじょう, 愛情[名]：爱心；爱情
あいじょう, 愛情[名]：爱情
あいじょう, 愛情[名]：爱；爱情
あいする, 愛する[动]：爱
あいする, 愛する[动]：爱；喜爱；爱好
あいず, 合図[名]：信号
あいず, 合図[名]：信号；手势
あいず, 合図[名]：暗号；信号
あいずする, 合図する[动]：发信号
あいせき, 相席[名·动]：拼桌
あいそ, あいそう, 愛想[名]：和蔼；亲切
あいそ, 愛想[名]：待人亲切；和蔼
あいそ, 愛想[名]：待人态度
あいだ, 間[名]：之间；期间
あいだ, 間[名]：间隔；中间；期间；关系
あいだがら, 間柄[名]：关系
あいちゃく, 愛着[名]：留恋
あいつ[代]：那家伙；那小子
あいつうじる, 相通じる[动]：相通
あいつうずる, 相通ずる[动]：相通
あいつぐ, 相次ぐ[动]：相继
あいつぐ, 相次ぐ[动]：相继发生
あいづち, 相づち[名]：随声附和
あいづち, 相槌[名]：随声附和
あいて, 相手[名]：伙伴；对方；对手
あいて, 相手[名]：对方
あいて, 相手[名]：对方；对手
あいてどる, 相手取る[动]：以…为对手
あいにく[副]：不凑巧
あいにく[副]：不巧
あいにく[副·形]：不巧；遗憾
あいにく[形]：不凑巧的
あいま, 合間[名]：空闲；间歇
あいま, 合間[名]：空隙
あいまい, 曖昧[形]：暧昧的
あいまい, 曖昧[形]：暧昧；含糊
あいまい, 曖昧[形]：暧昧；含糊；不明确
あいまい, 曖昧[形]：模糊；含糊
あいまって, 相まって[副]：相互作用
あいようする, 愛用する[动]：爱用
あう, 会う, 遭う[动]：见面；遇见；遭遇
あう, 会う[动]：见面
あう, 会う[动]：遇见；会面
あう, 合う[动]：合适；一致
あう, 合う[动]：合适；一致；互相
あう, 遭う[动]：遭遇
あえて, 敢えて[副]：硬着头皮
あえて, 敢えて[副]：硬要；斗胆
あえて[副]：硬要；特意；(后接否定)并非
あお, 青[名]：蓝色
あお, 青[名]：蓝色；绿色；不成熟
あおい, 青い[形]：蓝的
あおい, 青い[形]：蓝色的
あおい, 青い[形]：蓝色的；绿色的
あおい, 青い[形]：蓝；绿；不成熟
あおき, 青木[名]：青木（人名）
あおぐ, 仰ぐ[动]：仰望；尊敬；请求
あおぐ, 扇ぐ[动]：扇
あおじゃしん, 青写真[名]：蓝图
あおじろい, 青白い[形]：脸色苍白的
あおじろい, 青白い[形]：苍白
あおじろい, 青白い[形]：苍白的
あおぞら, 青空[名]：蓝天
あおにさい, 青二才[名]：黄毛小子
あおば, 青葉[名]：绿叶
あおむけ, 仰向け[名]：仰面朝天
あおむける, 仰向ける[动]：仰起；抬起
あおもりけん, 青森県[名]：青森县
あか, 垢[名]：污垢
あか, 赤[名]：红色
あか, 赤[名]：红色；完全
あか, 赤[名]：红；红色；赤字
あかい, 赤い[形]：红的
あかい, 赤い[形]：红色的
あかご, 赤子[名]：婴儿
あかし, 証[名]：证据
あかしんごう, 赤信号[名]：红灯
あかじ, 赤字[名]：赤字
あかじ, 赤字[名]：赤字；红字
あかす, 明かす[动]：揭晓；过夜
あかす, 明かす[动]：证明
あかす, 明かす[动]：道破；过夜
あかちゃん, 赤ちゃん[名]：娃娃；婴儿
あかちゃん, 赤ちゃん[名]：婴儿
あかつき, 暁[名]：拂晓；…之际
あからむ, 赤らむ[动]：变红
あからむ, 赤らむ[动]：脸红
あかり, 明かり[名]：光线；灯光
あかり, 明かり[名]：光；亮；灯光
あかり, 明かり[名]：光；光亮；灯
あかり, 明かり[名]：光；灯
あかるい, 明るい[形]：明亮的；开朗的
あかるい, 明るい[形]：明亮；开朗
あかるい, 明るい[形]：明亮；开朗；精通
あかるさ, 明るさ[名]：明亮度；开朗
あかん[形]：不行；不可以（关西方言）
あかんぼう, 赤ん坊[名]：婴儿
あかんぼう, 赤ん坊[名]：婴儿；乳儿
あかワイン, 赤ワイン[名]：红葡萄酒
あがめる, 崇める[动]：崇敬；崇拜
あがり, 上がり[名]：上升；完成；收益
あがり, 上がり[名]：上；上涨；结束
あがり, 上がり[名]：结束；完成品
あがる, 上がる, 揚がる, 挙がる[动]：上；登；升起；提高；吃喝(敬语)
あがる, 上がる[动]：上升；提高；进入
あがる, 上がる[动]：上去；上涨；(紧张等情绪)上来
あがる, 上がる[动]：上；登；完成；怯场
あき, 秋[名]：秋天
あき, 秋[名]：秋；秋天
あき, 空き[名]：空缺；空闲；空隙
あき, 空き[名]：空隙；空缺
あき, 空き[名]：空；空闲
あきこ, 明子[名]：明子（人名）
あきっぽい, 飽きっぽい[形]：没耐性的；易厌烦的
あきない, 商い[名]：生意
あきなう, 商う[动]：经商
あきはばら, 秋葉原[名]：秋叶原
あきばれ, 秋晴れ[名]：秋高气爽
あきらか, 明らか[形]：明显
あきらか, 明らか[形]：明显的；显然的
あきらか, 明らか[形]：明显；显然；清楚
あきらか, 明らか[形]：明显；清楚
あきらめ, 諦め[名]：断念
あきらめ, 諦め[名]：断念；死心
あきらめる, 諦める[动]：放弃
あきらめる[动]：放弃；死心
あきる, 飽きる[动]：厌烦；腻
あきる, 飽きる[动]：厌烦；腻烦
あきれる, 呆れる[动]：惊呆；愕然
あきれる, 呆れる[动]：无语；吃惊
あきれる[动]：惊愕；目瞪口呆
あく, 悪[名]：坏事
あく, 悪[名]：恶；不好
あく, 空く, 明く[动]：空；闲；空出
あく, 空く[动]：空
あく, 空く[动]：空着；闲着
あく, 開く[动]：开；开始；开门
あく, 開く[动]：开；张开
あくしつ, 悪質[名·形]：性质恶劣
あくしゅ, 握手[名]：握手
あくしゅ, 握手[名]：握手；和好
あくしゅ, 握手[名·动]：握手
あくせく[副·动]：辛劳；忙碌
あくせん, 悪戦[名·动]：苦战
あくせん, 悪銭[名]：不义之财
あくたがわりゅうのすけ, 芥川龍之介[名]：芥川龙之介（人名）
あくてんこう, 悪天候[名]：恶劣天气
あくとく, 悪徳[名]：缺德
あくどい[形]：(颜色；味道)过浓；恶毒
あくどい[形]：过于浓重的
あくどい[形]：（颜色）过艳；（味道）过浓；恶毒
あくにん, 悪人[名]：坏人
あくび, 欠伸[名·动]：哈欠
あくび[名]：哈欠
あくび[名]：打呵欠
あくま, 悪魔[名]：恶魔
あくまで[副]：到底；彻底
あくまで[副]：终归；到底；彻底
あくまでも, 飽くまでも[副]：归根到底
あくる, 明くる[连]：第二个
